from,to,forecast,actual,index
2021-12-31T23:30Z,2022-01-01T00:00Z,83,71,low
2022-01-01T00:00Z,2022-01-01T00:30Z,74,74,low
2022-01-01T00:30Z,2022-01-01T01:00Z,70,75,low
2022-01-01T01:00Z,2022-01-01T01:30Z,70,73,low
2022-01-01T01:30Z,2022-01-01T02:00Z,61,68,low
2022-01-01T02:00Z,2022-01-01T02:30Z,62,71,low
2022-01-01T02:30Z,2022-01-01T03:00Z,57,65,low
2022-01-01T03:00Z,2022-01-01T03:30Z,70,62,low
2022-01-01T03:30Z,2022-01-01T04:00Z,61,57,low
2022-01-01T04:00Z,2022-01-01T04:30Z,62,59,low
2022-01-01T04:30Z,2022-01-01T05:00Z,55,55,low
2022-01-01T05:00Z,2022-01-01T05:30Z,59,52,low
2022-01-01T05:30Z,2022-01-01T06:00Z,52,53,low
2022-01-01T06:00Z,2022-01-01T06:30Z,50,51,low
2022-01-01T06:30Z,2022-01-01T07:00Z,52,48,low
2022-01-01T07:00Z,2022-01-01T07:30Z,51,45,low
2022-01-01T07:30Z,2022-01-01T08:00Z,47,47,low
2022-01-01T08:00Z,2022-01-01T08:30Z,44,49,low
2022-01-01T08:30Z,2022-01-01T09:00Z,45,49,low
2022-01-01T09:00Z,2022-01-01T09:30Z,50,47,low
2022-01-01T09:30Z,2022-01-01T10:00Z,51,53,low
2022-01-01T10:00Z,2022-01-01T10:30Z,48,49,low
2022-01-01T10:30Z,2022-01-01T11:00Z,51,48,low
2022-01-01T11:00Z,2022-01-01T11:30Z,48,45,low
2022-01-01T11:30Z,2022-01-01T12:00Z,49,48,low
2022-01-01T12:00Z,2022-01-01T12:30Z,41,52,low
2022-01-01T12:30Z,2022-01-01T13:00Z,46,57,low
2022-01-01T13:00Z,2022-01-01T13:30Z,55,54,low
2022-01-01T13:30Z,2022-01-01T14:00Z,54,58,low
2022-01-01T14:00Z,2022-01-01T14:30Z,55,58,low
2022-01-01T14:30Z,2022-01-01T15:00Z,56,60,low
2022-01-01T15:00Z,2022-01-01T15:30Z,63,64,low
2022-01-01T15:30Z,2022-01-01T16:00Z,60,71,low
2022-01-01T16:00Z,2022-01-01T16:30Z,62,73,low
2022-01-01T16:30Z,2022-01-01T17:00Z,72,81,low
2022-01-01T17:00Z,2022-01-01T17:30Z,75,82,low
2022-01-01T17:30Z,2022-01-01T18:00Z,80,83,low
2022-01-01T18:00Z,2022-01-01T18:30Z,80,86,low
2022-01-01T18:30Z,2022-01-01T19:00Z,79,85,low
2022-01-01T19:00Z,2022-01-01T19:30Z,82,77,low
2022-01-01T19:30Z,2022-01-01T20:00Z,82,73,low
2022-01-01T20:00Z,2022-01-01T20:30Z,80,78,low
2022-01-01T20:30Z,2022-01-01T21:00Z,71,76,low
2022-01-01T21:00Z,2022-01-01T21:30Z,77,76,low
2022-01-01T21:30Z,2022-01-01T22:00Z,72,68,low
2022-01-01T22:00Z,2022-01-01T22:30Z,68,63,low
2022-01-01T22:30Z,2022-01-01T23:00Z,53,60,low
2022-01-01T23:00Z,2022-01-01T23:30Z,53,56,low
2022-01-01T23:30Z,2022-01-02T00:00Z,55,56,low
2022-01-02T00:00Z,2022-01-02T00:30Z,53,44,very low
2022-01-02T00:30Z,2022-01-02T01:00Z,57,47,low
2022-01-02T01:00Z,2022-01-02T01:30Z,44,50,low
2022-01-02T01:30Z,2022-01-02T02:00Z,47,50,low
2022-01-02T02:00Z,2022-01-02T02:30Z,47,47,low
2022-01-02T02:30Z,2022-01-02T03:00Z,47,45,low
2022-01-02T03:00Z,2022-01-02T03:30Z,47,47,low
2022-01-02T03:30Z,2022-01-02T04:00Z,43,45,low
2022-01-02T04:00Z,2022-01-02T04:30Z,49,50,low
2022-01-02T04:30Z,2022-01-02T05:00Z,45,48,low
2022-01-02T05:00Z,2022-01-02T05:30Z,50,54,low
2022-01-02T05:30Z,2022-01-02T06:00Z,49,51,low
2022-01-02T06:00Z,2022-01-02T06:30Z,53,50,low
2022-01-02T06:30Z,2022-01-02T07:00Z,49,54,low
2022-01-02T07:00Z,2022-01-02T07:30Z,49,48,low
2022-01-02T07:30Z,2022-01-02T08:00Z,51,48,low
2022-01-02T08:00Z,2022-01-02T08:30Z,46,57,low
2022-01-02T08:30Z,2022-01-02T09:00Z,47,65,low
2022-01-02T09:00Z,2022-01-02T09:30Z,55,62,low
2022-01-02T09:30Z,2022-01-02T10:00Z,63,65,low
2022-01-02T10:00Z,2022-01-02T10:30Z,62,63,low
2022-01-02T10:30Z,2022-01-02T11:00Z,64,64,low
2022-01-02T11:00Z,2022-01-02T11:30Z,64,70,low
2022-01-02T11:30Z,2022-01-02T12:00Z,64,73,low
2022-01-02T12:00Z,2022-01-02T12:30Z,69,74,low
2022-01-02T12:30Z,2022-01-02T13:00Z,76,76,low
2022-01-02T13:00Z,2022-01-02T13:30Z,74,76,low
2022-01-02T13:30Z,2022-01-02T14:00Z,77,80,low
2022-01-02T14:00Z,2022-01-02T14:30Z,76,85,low
2022-01-02T14:30Z,2022-01-02T15:00Z,77,84,low
2022-01-02T15:00Z,2022-01-02T15:30Z,90,88,low
2022-01-02T15:30Z,2022-01-02T16:00Z,90,94,low
2022-01-02T16:00Z,2022-01-02T16:30Z,89,102,low
2022-01-02T16:30Z,2022-01-02T17:00Z,99,104,low
2022-01-02T17:00Z,2022-01-02T17:30Z,96,102,low
2022-01-02T17:30Z,2022-01-02T18:00Z,97,98,low
2022-01-02T18:00Z,2022-01-02T18:30Z,95,96,low
2022-01-02T18:30Z,2022-01-02T19:00Z,97,92,low
2022-01-02T19:00Z,2022-01-02T19:30Z,89,91,low
2022-01-02T19:30Z,2022-01-02T20:00Z,88,83,low
2022-01-02T20:00Z,2022-01-02T20:30Z,87,73,low
2022-01-02T20:30Z,2022-01-02T21:00Z,84,65,low
2022-01-02T21:00Z,2022-01-02T21:30Z,70,62,low
2022-01-02T21:30Z,2022-01-02T22:00Z,53,53,low
2022-01-02T22:00Z,2022-01-02T22:30Z,57,56,low
2022-01-02T22:30Z,2022-01-02T23:00Z,46,57,low
2022-01-02T23:00Z,2022-01-02T23:30Z,58,58,low
2022-01-02T23:30Z,2022-01-03T00:00Z,58,55,low
2022-01-03T00:00Z,2022-01-03T00:30Z,60,50,low
2022-01-03T00:30Z,2022-01-03T01:00Z,55,55,low
2022-01-03T01:00Z,2022-01-03T01:30Z,49,53,low
2022-01-03T01:30Z,2022-01-03T02:00Z,54,50,low
2022-01-03T02:00Z,2022-01-03T02:30Z,48,46,low
2022-01-03T02:30Z,2022-01-03T03:00Z,43,47,low
2022-01-03T03:00Z,2022-01-03T03:30Z,44,47,low
2022-01-03T03:30Z,2022-01-03T04:00Z,43,45,low
2022-01-03T04:00Z,2022-01-03T04:30Z,47,44,very low
2022-01-03T04:30Z,2022-01-03T05:00Z,44,41,very low
2022-01-03T05:00Z,2022-01-03T05:30Z,46,42,very low
2022-01-03T05:30Z,2022-01-03T06:00Z,43,47,low
2022-01-03T06:00Z,2022-01-03T06:30Z,44,57,low
2022-01-03T06:30Z,2022-01-03T07:00Z,46,60,low
2022-01-03T07:00Z,2022-01-03T07:30Z,58,64,low
2022-01-03T07:30Z,2022-01-03T08:00Z,61,68,low
2022-01-03T08:00Z,2022-01-03T08:30Z,62,74,low
2022-01-03T08:30Z,2022-01-03T09:00Z,68,86,low
2022-01-03T09:00Z,2022-01-03T09:30Z,74,99,low
2022-01-03T09:30Z,2022-01-03T10:00Z,89,102,low
2022-01-03T10:00Z,2022-01-03T10:30Z,99,90,low
2022-01-03T10:30Z,2022-01-03T11:00Z,105,90,low
2022-01-03T11:00Z,2022-01-03T11:30Z,96,90,low
2022-01-03T11:30Z,2022-01-03T12:00Z,93,99,low
2022-01-03T12:00Z,2022-01-03T12:30Z,91,104,low
2022-01-03T12:30Z,2022-01-03T13:00Z,100,104,low
2022-01-03T13:00Z,2022-01-03T13:30Z,108,105,low
2022-01-03T13:30Z,2022-01-03T14:00Z,105,108,low
2022-01-03T14:00Z,2022-01-03T14:30Z,104,110,low
2022-01-03T14:30Z,2022-01-03T15:00Z,111,114,low
2022-01-03T15:00Z,2022-01-03T15:30Z,111,120,low
2022-01-03T15:30Z,2022-01-03T16:00Z,124,125,low
2022-01-03T16:00Z,2022-01-03T16:30Z,126,127,low
2022-01-03T16:30Z,2022-01-03T17:00Z,136,131,moderate
2022-01-03T17:00Z,2022-01-03T17:30Z,129,139,moderate
2022-01-03T17:30Z,2022-01-03T18:00Z,133,138,moderate
2022-01-03T18:00Z,2022-01-03T18:30Z,137,137,moderate
2022-01-03T18:30Z,2022-01-03T19:00Z,123,136,moderate
2022-01-03T19:00Z,2022-01-03T19:30Z,135,136,moderate
2022-01-03T19:30Z,2022-01-03T20:00Z,134,133,moderate
