,Unnamed: 0_level_0,Invoice information,Invoice information,Invoice information,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Supply consumption charges,Supply consumption charges,Supply consumption charges,Supply consumption charges,Supply consumption charges,Supply consumption charges,Standing charges,Standing charges,Site charges,Site charges,Distribution availability charge,Distribution availability charge,Distribution availability charge,Distribution fixed charge,Distribution fixed charge,Distribution fixed charge,Data collection,Data collection,Data collection,Settlement agency,Settlement agency,Settlement agency,Network Usage,Network Usage,Network Usage,Network Usage,Network Usage,Carbon Tax,Carbon Tax,Carbon Tax,Reactive power,Reactive power,Reactive power,Reconciliation,VAT,Total Charge (£),Total Charge (£),Total Charge (£),Total Charge (£)
,Unnamed: 0_level_1,start_date,end_date,mpan,Amber - Charge (£),Amber - Charge rate (£/kWh),Amber - Consumption (kWh),Green - Charge (£),Green - Charge rate (£/kWh),Green - Consumption (kWh),Red - Charge (£),Red - Charge rate (£/kWh),Red - Consumption (kWh),Day - Charge (£),Day - Charge rate (£/kWh),Day - Consumption (kWh),Night - Charge (£),Night - Charge rate (£/kWh),Night - Consumption (kWh),Charge rate (£/Days),Charge (£),Charge rate (£/Days),Charge (£),Charge rate (£/kVA),Charge (£),Consumption (kVA),Charge rate (£/Days),Charge (£),Consumption (Days),Charge rate (£/Days),Charge (£),Consumption (Days),Charge rate (£/kVA),Charge (£),Consumption (kVA),Forecast TRIAD,MD%,Consumption (kW),Charge rate (£/kW),Charge (£),Charge rate (£/kWh),Consumption (kWh),Charge (£),Charge rate (£/kW),Charge (£),Consumption (kW),Charge (£),Charge (£),Unnamed: 50_level_1,Unnamed: 51_level_1,Unnamed: 52_level_1,Unnamed: 53_level_1
0,0,2022-11-01,2022-11-30,1928,66.67,0.00518,12871.2,7.82,0.00051,15334.1,84.93,0.02584,3286.6,3523.86,0.143147,24617.09,956.31,0.11588,8252.63,0.657534,19.73,0.07286,2.19,0.429,57.92,135.011655011655,6.2088,186.26,29.9993557531246,0.6821918,20.47,30.0062240560499,0.02302,0.69,29.9739357080799,-,85.00%,6.04,51.83943,313.11,0.00775,"31,491.9",244.06,0.0,0.0,0.0,20.49,1100.9,6605.41,,,
1,1,2023-02-01,2023-02-28,1928,58.39,0.00518,11273.0,8.94,0.00051,17526.5,81.7,0.02584,3161.7,3423.16,0.143147,23913.59,1094.95,0.11588,9449.04,0.657534,18.41,0.07286,2.04,0.4004,54.05,134.99000999001,6.2088,173.85,28.0005798221879,0.6821918,19.1,27.9979911807794,0.02302,0.64,27.8019113814075,-,85.00%,5.26,51.83943,272.68,0.00775,"31,961.2",247.7,0.00071,0.01,14.0845070422535,165.6,1124.25,6745.47,,,
2,2,2022-10-01,2022-10-31,1928,50.27,0.00518,9704.3,7.27,0.00051,14257.2,66.19,0.02584,2561.5,2911.46,0.143147,20338.92,851.21,0.11588,7345.64,0.657534,20.38,0.07286,2.26,0.4433,59.85,135.010151139183,6.2088,192.47,30.9995490271872,0.6821918,21.15,31.0030111766222,0.02302,0.71,30.8427454387489,-,85.00%,4.51,51.83943,233.8,0.00775,"26,523",205.55,0.0,0.0,0.0,58.35,912.84,5593.76,,,
3,3,2023-02-01,2023-02-28,9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.24,0.18783,986.2,0.0,0.0,0.0,0.274599,7.69,0.086738,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.4552,12.75,28.0096660808436,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.00775,986.2,7.64,0.0,0.0,0.0,5.74,44.3,265.79,,,
4,4,2023-01-01,2023-01-31,9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.24,0.18783,1071.4,0.0,0.0,0.0,0.274599,8.51,0.086738,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.4552,14.11,30.9973637961336,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.00775,"1,071.4",8.3,0.0,0.0,0.0,0.38,46.89,282.12,,,
5,5,2022-12-01,2022-12-31,9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.11,0.18783,1049.4,0.0,0.0,0.0,0.274599,8.51,0.086738,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.4552,14.11,30.9973637961336,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.00775,"1,049.4",8.13,0.0,0.0,0.0,9.72,48.06,288.33,,,
6,6,2022-11-01,2022-11-30,9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.96,0.18783,984.7,0.0,0.0,0.0,0.274599,8.24,0.086738,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4552,13.66,30.0087873462214,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.7,10.51,220.67,,,
7,7,2022-09-01,2022-09-30,1928,46.03,0.00518,8886.7,6.2,0.00051,12162.5,65.68,0.02584,2541.9,2575.85,0.143147,17994.46,768.29,0.11588,6630.07,0.657534,19.73,0.07286,2.19,0.429,57.92,135.011655011655,6.2088,186.26,29.9993557531246,0.6821918,20.47,30.0062240560499,0.02302,0.69,29.9739357080799,-,85.00%,4.32,51.83943,223.95,0.00775,"23,591.1",182.83,0.0,0.0,0.0,0.0,831.22,4987.31,,,
8,8,2022-10-01,2022-10-31,9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.32,0.18783,1002.6,0.0,0.0,0.0,0.274599,8.51,0.086738,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.4552,14.11,30.9973637961336,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.67,10.6,225.9,,,
9,9,2022-12-01,2022-12-31,1928,75.81,0.00518,14634.2,11.35,0.00051,22255.5,104.14,0.02584,4030.2,4445.78,0.143147,31057.41,1350.64,0.11588,11655.47,0.657534,20.38,0.07286,2.26,0.4433,59.85,135.010151139183,6.2088,192.47,30.9995490271872,0.6821918,21.15,31.0030111766222,0.02302,0.71,30.8427454387489,-,85.00%,7.91,51.83943,410.05,0.00775,"40,919.9",317.13,0.00071,0.16,225.352112676056,282.7,1458.92,8753.5,,,
