,consumption_kWh,mpr,period_from,period_to,meter_unit,cf,calorific_value,charge_rate_per_kWh,consumption_charge,daily_charge_total,daily_charge_rate,ccl_rate_per_kWh,meter_present_reading,meter_present_type,meter_previous_reading,meter_previous_type
0,472.0,1234,2021-06-30,2021-07-31,M3,1.02264,39.55806,0.021385,10.09,37.2,['£1.20'],0.0,18356,A,18398,A
1,38914.5,5678,2021-07-31,2021-08-31,M3,1.01785,39.38065,0.023156,901.1,489.18,['£15.78'],0.00465,933348,C,936843,A
2,13558.1,9012,2022-03-31,2022-04-30,M3,1.02264,39.38,0.034297,465.0,173.7,['£5.79'],0.0056799999999999,110264,A,111476,A
3,2003.0,1234,2022-09-30,2022-10-31,M3,1.02264,39.6129,0.031208,62.51,52.08,['£1.68'],0.0,21135,A,21313,A
4,646.1,1234,2022-08-31,2022-09-30,M3,1.02264,39.90333,0.045325,29.28,50.4,['£1.68'],0.0,21078,A,21135,A
5,128505.5,5678,2022-10-31,2022-11-30,M3,1.01785,39.29,0.027978,3595.33,919.8,['£30.66'],0.0056799999999999,1049374,A,1060942,C
6,2117.8,1234,2021-09-30,2021-10-31,M3,1.02264,39.44516,0.015229,32.25,37.2,['£1.20'],0.0,18488,A,18677,A
7,3737.2,1234,2021-02-28,2021-03-31,M3,1.02264,39.15484,0.015326,57.28,25.73,['£0.83'],0.0,17442,A,17778,A
8,0.0,9012,2022-07-31,2022-08-31,M3,1.02264,39.70968,0.013664,0.0,179.49,['£5.79'],0.0,111972,A,111972,A
9,6000.3,3456,2021-12-31,2022-01-31,M3,1.02264,39.11613,0.0267059999999999,160.24,44.64,['£1.44'],0.00465,31854,A,32394,A
10,31481.5,5678,2022-07-31,2022-08-31,M3,1.01785,39.70968,0.013654,429.85,950.46,['£30.66'],0.0056799999999999,1033925,C,1036729,A
11,17167.4,9012,2021-12-31,2022-01-31,M3,1.02264,39.11613,0.0266469999999999,457.46,137.33,['£4.43'],0.00465,105972,A,107517,A
12,1461769.1,7890,2022-08-31,2022-09-30,HCUF,1.0,39.90333,0.045325,66254.68,1842.0,['£61.40'],0.0056799999999999,1769479,C,1816051,E
13,1166.1,3456,2022-04-30,2022-05-31,M3,1.02264,39.85484,0.037457,43.68,59.21,['£1.91'],0.0,33669,A,33772,A
14,5423.0,3456,2021-01-31,2021-02-28,M3,1.02264,39.2,0.015996,86.75,40.32,['£1.44'],0.00406,29009,A,29496,A
15,0.0,3456,2022-07-31,2022-08-31,M3,1.02264,39.70968,0.013731,0.0,59.21,['£1.91'],0.0,33831,A,33831,A
16,113285.5,5678,2021-04-30,2021-05-31,M3,1.01785,39.19355,0.017344,1964.82,489.18,['£15.78'],0.00465,914780,A,925003,A
17,70754.3,5678,2022-04-30,2022-05-31,M3,1.01785,39.85484,0.03738,2644.8,950.46,['£30.66'],0.0056799999999999,1021838,C,1028117,A
18,0.0,7890,2022-01-31,2022-02-01,HCUF,1.0,39.3,0.024043,0.0,5260.92,['£187.89'],0.00465,1078381,C,1078381,C
19,3923688.1,7890,2022-02-01,2022-02-28,HCUF,1.0,39.30741,0.024043,94337.23,5260.92,['£187.89'],,1078381,A,1205285,C
20,4980.0,3456,2022-01-31,2022-02-28,M3,1.02264,39.30714,0.024182,120.43,40.32,['£1.44'],0.00465,32394,A,32840,A
21,1596.3,1234,2022-04-30,2022-05-31,M3,1.02264,39.85484,0.037457,59.79,52.08,['£1.68'],0.0,20811,A,20952,A
22,87871.1,5678,2021-09-30,2021-10-31,M3,1.01785,39.44516,0.015159,1332.04,489.18,['£15.78'],0.00465,941550,A,949429,C
23,156950.0,5678,2021-01-31,2021-02-28,M3,1.01785,39.2,0.015927,2499.74,396.2,['£14.15'],0.00406,875449,A,889610,A
24,15330.7,9012,2022-01-31,2022-02-28,M3,1.02264,39.30714,0.024123,369.82,124.04,['£4.43'],0.00465,107517,A,108890,A
25,130527.4,5678,2021-03-31,2021-04-30,M3,1.01785,39.27333,0.016093,2100.58,473.4,['£15.78'],0.00465,903025,A,914780,A
26,1220.6,3456,2021-08-31,2021-09-30,M3,1.02264,39.42,0.020749,25.33,43.2,['£1.44'],0.0,30679,A,30788,A
27,5957.3,9012,2021-08-31,2021-09-30,M3,1.02264,39.42,0.02069,123.26,132.9,['£4.43'],0.00465,101854,A,102386,A
28,4453.2,3456,2022-10-31,2022-11-30,M3,1.02264,39.29,0.028055,124.94,57.3,['£1.91'],0.0056799999999999,34125,A,34524,A
29,169278.4,5678,2022-12-31,2023-01-31,M3,1.01785,39.34516,0.030859,5223.76,950.46,['£30.66'],0.0056799999999999,1076586,C,1091803,C
30,102939.2,5678,2022-09-30,2022-10-31,M3,1.01785,39.6129,0.031131,3204.6,950.46,['£30.66'],0.0056799999999999,1040183,A,1049374,A
31,554.0,3456,2022-05-31,2022-06-30,M3,1.02264,39.80333,0.038301,21.22,57.3,['£1.91'],0.0,33772,A,33821,A
32,15964.3,9012,2020-11-30,2020-12-31,M3,1.02264,39.3,0.014509,231.63,124.62,['£4.02'],0.00406,92172,A,93602,A
33,3319769.1,7890,2022-10-31,2022-11-30,HCUF,1.0,39.29,0.028055,93136.12,1842.0,['£61.40'],0.0056799999999999,1931274,C,2038693,C
34,4418052.4,7890,2021-12-31,2022-01-31,HCUF,1.0,39.11613,0.0265669999999999,117374.4,5824.59,['£187.89'],0.00465,934789,C,1078381,C
35,0.0,9012,2022-05-31,2022-06-30,M3,1.02264,39.80333,0.038234,0.0,173.7,['£5.79'],0.0,111972,A,111972,A
36,2661898.8,7890,2021-08-31,2021-09-30,HCUF,1.0,39.42,0.02061,54861.73,5636.7,['£187.89'],0.00465,506398,C,592246,C
37,5189.8,3456,2022-02-28,2022-03-31,M3,1.02264,39.37419,0.026622,138.16,44.64,['£1.44'],0.00465,32840,A,33304,A
38,6297.4,3456,2022-11-30,2022-12-31,M3,1.02264,39.30645,0.045073,283.84,59.21,['£1.91'],0.0056799999999999,34524,A,35088,A
39,17237.8,9012,2020-12-31,2021-01-31,M3,1.02264,39.07419,0.01649,284.25,124.62,['£4.02'],0.00406,93602,A,95155,A
40,3932384.3,7890,2021-10-31,2021-11-30,HCUF,1.0,39.42,0.020453,80429.06,5636.7,['£187.89'],0.00465,675107,C,801929,C
41,4336468.6,7890,2022-11-30,2022-12-31,HCUF,1.0,39.30645,0.045073,195457.65,1903.4,['£61.40'],0.0056799999999999,2038693,C,2178951,C
42,4106053.0,7890,2021-11-30,2021-12-31,HCUF,1.0,39.29032,0.024773,101719.25,5824.59,['£187.89'],0.00465,801929,C,934789,C
43,6227.9,3456,2021-11-30,2021-12-31,M3,1.02264,39.29032,0.024912,155.15,44.64,['£1.44'],0.00465,31296,A,31854,A
44,15368.0,9012,2022-02-28,2022-03-31,M3,1.02264,39.37419,0.026563,408.22,137.33,['£4.43'],0.00465,108890,A,110264,A
45,4564.9,1234,2021-11-30,2021-12-31,M3,1.02264,39.29032,0.024912,113.72,37.2,['£1.20'],0.00465,19044,A,19453,A
46,130918.3,5678,2022-02-28,2022-03-31,M3,1.01785,39.37419,0.026552,3476.14,489.18,['£15.78'],0.00465,1000933,A,1012693,C
47,51978.0,5678,2021-05-31,2021-06-30,M3,1.01785,39.41667,0.016464,855.77,473.4,['£15.78'],0.00465,925003,A,929667,A
48,3179.5,1234,2021-03-31,2021-04-30,M3,1.02264,39.27333,0.016163,51.39,36.0,['£1.20'],0.0,17778,A,18063,A
49,3381.8,3456,2021-10-31,2021-11-30,M3,1.02264,39.42,0.020592,69.64,43.2,['£1.44'],0.0,30994,E,31296,A
50,237.3,1234,2022-06-30,2022-07-31,M3,1.02264,39.7871,0.029325,6.96,52.08,['£1.68'],0.0,21036,A,21057,A
51,2672.1,3456,2021-04-30,2021-05-31,M3,1.02264,39.19355,0.017414,46.53,44.64,['£1.44'],0.0,30276,A,30516,A
52,3096666.9,7890,2022-03-31,2022-04-30,HCUF,1.0,39.38,0.034364,106413.86,1842.0,['£61.40'],0.0056799999999999,1327449,C,1427420,C
53,772.6,3456,2021-05-31,2021-06-30,M3,1.02264,39.41667,0.016534,12.77,43.2,['£1.44'],0.0,30516,A,30585,A
54,41170.1,5678,2021-06-30,2021-07-31,M3,1.01785,39.55806,0.021315,877.54,489.18,['£15.78'],0.00465,929667,A,933348,C
55,15260.2,9012,2021-02-28,2021-03-31,M3,1.02264,39.15484,0.015267,232.98,124.62,['£4.02'],0.00406,96497,A,97869,A
56,6016.0,3456,2020-12-31,2021-01-31,M3,1.02264,39.07419,0.016549,99.56,44.64,['£1.44'],0.00406,28467,A,29009,A
57,9860.4,9012,2021-09-30,2021-10-31,M3,1.02264,39.44516,0.01517,149.58,137.33,['£4.43'],0.00465,102386,A,103266,A
58,0.0,9012,2022-09-30,2022-10-31,M3,1.02264,39.6129,0.031141,0.0,179.49,['£5.79'],0.0,111972,A,111972,A
59,10323.9,9012,2022-10-31,2022-11-30,M3,1.02264,39.29,0.027988,288.95,173.7,['£5.79'],0.0056799999999999,111972,A,112897,A
60,0.0,9012,2022-08-31,2022-09-30,M3,1.02264,39.90333,0.045258,0.0,173.7,['£5.79'],0.0,111972,A,111972,A
61,3975.0,1234,2022-01-31,2022-02-28,M3,1.02264,39.30714,0.024182,96.12,33.6,['£1.20'],0.0,19871,A,20227,A
62,2570920.4,7890,2021-09-30,2021-10-31,HCUF,1.0,39.44516,0.01509,38795.19,5824.59,['£187.89'],0.00465,592246,C,675107,C
63,4398.5,1234,2021-01-31,2021-02-28,M3,1.02264,39.2,0.015996,70.36,23.24,['£0.83'],0.00406,17047,A,17442,A
64,4644.6,1234,2021-12-31,2022-01-31,M3,1.02264,39.11613,0.0267059999999999,124.04,37.2,['£1.20'],0.00465,19453,A,19871,A
65,12647.7,9012,2021-04-30,2021-05-31,M3,1.02264,39.19355,0.017355,219.5,137.33,['£4.43'],0.00465,99047,A,100183,A
66,154446.5,5678,2021-12-31,2022-01-31,M3,1.01785,39.11613,0.026636,4113.84,489.18,['£15.78'],0.00465,974650,A,988615,C
67,136896.7,5678,2022-01-31,2022-02-28,M3,1.01785,39.30714,0.024112,3300.85,441.84,['£15.78'],0.00465,988615,C,1000933,A
68,34841.9,5678,2022-05-31,2022-06-30,M3,1.01785,39.80333,0.038224,1331.8,919.8,['£30.66'],0.0056799999999999,1028117,A,1031213,A
69,152879.2,5678,2021-11-30,2021-12-31,M3,1.01785,39.29032,0.024842,3797.83,489.18,['£15.78'],0.00465,960888,C,974650,A
70,2520.6,3456,2022-09-30,2022-10-31,M3,1.02264,39.6129,0.031208,78.66,59.21,['£1.91'],0.0,33901,A,34125,A
71,6449.5,9012,2021-05-31,2021-06-30,M3,1.02264,39.41667,0.016475,106.25,132.9,['£4.43'],0.00465,100183,A,100759,A
72,127715.8,5678,2021-10-31,2021-11-30,M3,1.01785,39.42,0.020522,2620.98,473.4,['£15.78'],0.00465,949429,C,960888,C
73,52461.7,5678,2021-08-31,2021-09-30,M3,1.01785,39.42,0.020679,1084.85,473.4,['£15.78'],0.00465,936843,A,941550,A
74,2919.7,1234,2022-03-31,2022-04-30,M3,1.02264,39.38,0.034364,100.33,50.4,['£1.68'],0.0,20550,A,20811,A
75,3590215.8,7890,2022-09-30,2022-10-31,HCUF,1.0,39.6129,0.031208,112043.46,1903.4,['£61.40'],0.0056799999999999,1816051,E,1931274,C
76,793.5,3456,2022-08-31,2022-09-30,M3,1.02264,39.90333,0.045325,35.96,57.3,['£1.91'],0.0,33831,A,33901,A
77,3260512.7,7890,2022-05-31,2022-06-30,HCUF,1.0,39.80333,0.038301,124880.9,1851.6,['£61.72'],0.0056799999999999,1511095,E,1615236,C
78,627.1,1234,2021-08-31,2021-09-30,M3,1.02264,39.42,0.020749,13.01,36.0,['£1.20'],0.0,18432,A,18488,A
79,182640.3,5678,2020-12-31,2021-01-31,M3,1.01785,39.07419,0.0164799999999999,3009.91,438.65,['£14.15'],0.00406,858917,C,875449,A
80,314.6,3456,2021-06-30,2021-07-31,M3,1.02264,39.55806,0.021385,6.73,44.64,['£1.44'],0.0,30585,A,30613,A
81,5615.4,9012,2022-04-30,2022-05-31,M3,1.02264,39.85484,0.03739,209.96,179.49,['£5.79'],0.0056799999999999,111476,A,111972,A
82,949.8,1234,2022-05-31,2022-06-30,M3,1.02264,39.80333,0.038301,36.38,50.4,['£1.68'],0.0,20952,A,21036,A
83,101821.8,5678,2022-03-31,2022-04-30,M3,1.01785,39.38,0.034287,3491.16,919.8,['£30.66'],0.0056799999999999,1012693,C,1021838,C
84,16998.3,9012,2021-11-30,2021-12-31,M3,1.02264,39.29032,0.024853,422.46,137.33,['£4.43'],0.00465,104449,A,105972,A
85,3214.4,1234,2022-10-31,2022-11-30,M3,1.02264,39.29,0.028055,90.18,50.4,['£1.68'],0.0,21313,A,21601,A
86,113.0,3456,2022-06-30,2022-07-31,M3,1.02264,39.7871,0.029325,3.31,59.21,['£1.91'],0.0,33821,A,33831,A
87,380.4,1234,2021-07-31,2021-08-31,M3,1.02264,39.38065,0.023226,8.83,37.2,['£1.20'],0.0,18398,A,18432,A
88,2013388.6,7890,2021-07-31,2021-08-31,HCUF,1.0,39.38065,0.023087,46483.1,5824.59,['£187.89'],0.00465,441400,C,506398,C
89,22252.7,9012,2022-12-31,2023-01-31,M3,1.02264,39.34516,0.030869,686.92,179.49,['£5.79'],0.0056799999999999,114450,A,116441,A
90,4794.8,1234,2022-12-31,2023-01-31,M3,1.02264,39.34516,0.0309359999999999,148.33,52.08,['£1.68'],0.0056799999999999,22017,A,22446,A
91,13142.1,9012,2021-03-31,2021-04-30,M3,1.02264,39.27333,0.016104,211.64,132.9,['£4.43'],0.00465,97869,A,99047,A
92,17340.3,9012,2022-11-30,2022-12-31,M3,1.02264,39.30645,0.045006,780.42,179.49,['£5.79'],0.0056799999999999,112897,A,114450,A
93,4644.9,1234,2022-11-30,2022-12-31,M3,1.02264,39.30645,0.045073,209.36,52.08,['£1.68'],0.0056799999999999,21601,A,22017,A
94,3783551.2,7890,2022-02-28,2022-03-31,HCUF,1.0,39.37419,0.026483,100199.79,5824.59,['£187.89'],0.00465,1205285,C,1327449,C
95,2308.2,3456,2021-09-30,2021-10-31,M3,1.02264,39.44516,0.015229,35.15,44.64,['£1.44'],0.0,30788,A,30994,E
96,4109.6,1234,2021-10-31,2021-11-30,M3,1.02264,39.42,0.020592,84.63,36.0,['£1.20'],0.0,18677,A,19044,A
97,30508.0,5678,2022-06-30,2022-07-31,M3,1.01785,39.7871,0.029248,892.3,950.46,['£30.66'],0.0056799999999999,1031213,A,1033925,C
98,5371.3,9012,2021-06-30,2021-07-31,M3,1.02264,39.55806,0.021326,114.55,137.33,['£4.43'],0.00465,100759,A,101237,A
